目标,平均延迟(ms),最小延迟(ms),丢包率(%),速度(Mbps),国家代码,国家名称,ISP,注释
104.19.58.224:443,1.75,1.64,0.00,43.12,CA,加拿大·CA,Cloudflare,
209.94.90.155:443,1.82,1.53,0.00,40.80,US,美国·US,Cloudflare,
162.159.2.170:443,1.86,1.79,0.00,40.00,CA,加拿大·CA,Cloudflare,
49.238.238.144:443,1.87,1.74,0.00,38.63,KR,韩国·KR,Cloudflare,
104.25.141.10:443,1.90,1.50,0.00,19.34,CA,加拿大·CA,Cloudflare,
8.39.125.144:443,1.90,1.58,0.00,43.45,US,美国·US,Cloudflare,
172.64.48.128:443,1.90,1.64,0.00,38.35,CA,加拿大·CA,Cloudflare,
162.159.152.187:443,1.91,1.70,0.00,38.98,CA,加拿大·CA,Cloudflare,
172.64.93.134:443,1.92,1.66,0.00,40.30,CA,加拿大·CA,Cloudflare,
172.64.145.222:443,1.96,1.73,0.00,45.29,CA,加拿大·CA,Cloudflare,
104.16.78.25:443,1.97,1.84,0.00,41.39,CA,加拿大·CA,Cloudflare,
104.25.252.219:443,1.98,1.73,0.00,24.68,CA,加拿大·CA,Cloudflare,
104.17.102.235:443,1.98,1.77,0.00,37.19,CA,加拿大·CA,Cloudflare,
104.17.102.48:443,1.98,1.74,0.00,37.96,CA,加拿大·CA,Cloudflare,
8.35.211.16:443,1.99,1.58,0.00,44.03,US,美国·US,Cloudflare,
104.19.221.182:443,1.99,1.69,0.00,39.11,CA,加拿大·CA,Cloudflare,
172.64.145.110:443,1.99,1.74,0.00,35.25,CA,加拿大·CA,Cloudflare,
104.25.252.164:443,2.00,1.80,0.00,39.71,CA,加拿大·CA,Cloudflare,
154.92.9.70:443,2.01,1.82,0.00,36.94,CY,CY·CY,Cloudflare,
172.64.145.209:443,2.01,1.76,0.00,32.16,CA,加拿大·CA,Cloudflare,
198.41.223.12:443,2.02,1.89,0.00,27.53,CA,加拿大·CA,Cloudflare,
104.19.52.117:443,2.02,1.50,0.00,35.76,CA,加拿大·CA,Cloudflare,
162.159.4.200:443,2.03,1.86,0.00,33.87,CA,加拿大·CA,Cloudflare,
27.50.48.65:443,2.03,1.61,0.00,26.66,HK,香港·HK,Cloudflare,
104.16.78.2:443,2.03,1.66,0.00,32.47,CA,加拿大·CA,Cloudflare,
198.41.223.73:443,2.03,1.66,0.00,31.71,CA,加拿大·CA,Cloudflare,
154.81.141.218:443,2.03,1.64,0.00,32.02,SG,新加坡·SG,Cloudflare,
104.19.41.82:443,2.04,1.68,0.00,29.56,CA,加拿大·CA,Cloudflare,
104.19.61.66:443,2.04,1.70,0.00,38.14,CA,加拿大·CA,Cloudflare,
104.17.47.117:443,2.04,1.90,0.00,38.22,CA,加拿大·CA,Cloudflare,
173.245.58.126:443,2.05,1.72,0.00,40.92,US,美国·US,Cloudflare,
198.41.223.134:443,2.05,1.66,0.00,30.88,CA,加拿大·CA,Cloudflare,
8.39.125.251:443,2.05,1.54,0.00,30.45,US,美国·US,Cloudflare,
135.84.75.54:443,2.05,1.85,0.00,30.14,US,美国·US,Cloudflare,
104.17.102.219:443,2.06,1.94,0.00,34.02,CA,加拿大·CA,Cloudflare,
162.159.16.58:443,2.06,1.76,0.00,34.69,CA,加拿大·CA,Cloudflare,
104.19.52.154:443,2.06,1.72,0.00,35.14,CA,加拿大·CA,Cloudflare,
216.24.57.132:443,2.06,1.64,0.00,30.34,US,美国·US,Cloudflare,
199.34.230.98:443,2.07,1.61,0.00,36.70,US,美国·US,Cloudflare,
209.102.207.247:443,2.07,1.64,0.00,40.88,US,美国·US,Cloudflare,
154.81.141.215:443,2.07,1.59,0.00,43.83,SG,新加坡·SG,Cloudflare,
172.64.229.52:443,2.07,1.56,0.00,22.20,CA,加拿大·CA,Cloudflare,
49.238.238.156:2096,2.07,1.64,0.00,28.19,KR,韩国·KR,Cloudflare,
104.19.77.92:443,2.08,1.82,0.00,29.85,CA,加拿大·CA,Cloudflare,
172.64.93.26:443,2.08,1.72,0.00,22.50,CA,加拿大·CA,Cloudflare,
172.67.65.78:443,2.08,1.72,0.00,40.84,CA,加拿大·CA,Cloudflare,
216.24.57.111:443,2.08,1.84,0.00,35.45,US,美国·US,Cloudflare,
104.19.52.83:443,2.08,1.57,0.00,28.93,CA,加拿大·CA,Cloudflare,
216.24.57.249:443,2.08,1.68,0.00,28.79,US,美国·US,Cloudflare,
172.67.64.7:443,2.09,1.62,0.00,36.38,CA,加拿大·CA,Cloudflare,
104.25.61.64:443,2.09,1.74,0.00,21.30,CA,加拿大·CA,Cloudflare,
104.26.6.231:443,2.10,1.80,0.00,29.70,CA,加拿大·CA,Cloudflare,
209.94.90.3:443,2.10,1.70,0.00,27.74,US,美国·US,Cloudflare,
104.25.252.71:443,2.12,1.85,0.00,34.50,CA,加拿大·CA,Cloudflare,
27.50.48.212:443,2.12,1.85,0.00,29.55,HK,香港·HK,Cloudflare,
172.64.93.122:443,2.12,1.77,0.00,31.56,CA,加拿大·CA,Cloudflare,
104.19.221.209:443,2.13,1.81,0.00,19.52,CA,加拿大·CA,Cloudflare,
104.25.141.30:443,2.13,1.84,0.00,37.35,CA,加拿大·CA,Cloudflare,
172.64.158.234:443,2.13,1.91,0.00,27.49,CA,加拿大·CA,Cloudflare,
154.92.9.210:443,2.13,1.72,0.00,17.73,CY,CY·CY,Cloudflare,
162.159.25.23:443,2.13,1.82,0.00,38.40,CA,加拿大·CA,Cloudflare,
104.25.252.173:443,2.13,1.79,0.00,27.21,CA,加拿大·CA,Cloudflare,
104.19.61.97:443,2.13,1.78,0.00,22.57,CA,加拿大·CA,Cloudflare,
104.19.61.96:443,2.13,1.69,0.00,25.10,CA,加拿大·CA,Cloudflare,
104.17.102.53:443,2.14,1.61,0.00,25.34,CA,加拿大·CA,Cloudflare,
198.41.223.227:443,2.14,1.74,0.00,25.65,CA,加拿大·CA,Cloudflare,
173.245.58.241:443,2.14,1.82,0.00,28.58,CA,加拿大·CA,Cloudflare,
45.205.0.112:443,2.14,1.80,0.00,28.86,US,美国·US,Cloudflare,
8.35.211.173:443,2.14,1.90,0.00,38.91,US,美国·US,Cloudflare,
104.19.46.127:443,2.14,1.84,0.00,27.09,CA,加拿大·CA,Cloudflare,
104.25.141.70:443,2.14,1.80,0.00,22.99,CA,加拿大·CA,Cloudflare,
172.64.93.7:443,2.14,1.68,0.00,21.46,CA,加拿大·CA,Cloudflare,
135.84.75.197:443,2.15,1.70,0.00,24.80,US,美国·US,Cloudflare,
104.19.41.252:443,2.15,1.48,0.00,18.84,CA,加拿大·CA,Cloudflare,
27.50.48.77:443,2.15,1.57,0.00,19.57,HK,香港·HK,Cloudflare,
104.16.78.127:443,2.15,1.83,0.00,23.68,CA,加拿大·CA,Cloudflare,
208.86.168.101:443,2.15,1.93,0.00,25.11,US,美国·US,Cloudflare,
209.94.90.248:443,2.15,1.61,0.00,29.30,US,美国·US,Cloudflare,
135.84.74.185:443,2.15,1.68,0.00,20.18,US,美国·US,Cloudflare,
104.19.32.175:443,2.16,1.74,0.00,27.51,CA,加拿大·CA,Cloudflare,
104.26.14.200:443,2.16,1.92,0.00,22.11,CA,加拿大·CA,Cloudflare,
104.18.45.90:443,2.16,1.71,0.00,18.68,CA,加拿大·CA,Cloudflare,
172.64.158.154:443,2.16,1.74,0.00,22.80,CA,加拿大·CA,Cloudflare,
